,datetime,usdt_mcap,usdc_mcap,busd_mcap
406,2023-02-05,67944713474.216835,42029296086.85138,16246482563.19855
407,2023-02-06,68114172206.9055,42057121144.45521,16284522117.3702
408,2023-02-07,68043274844.16859,41800705575.0068,16178257105.617353
409,2023-02-08,68265208037.89304,41821971552.94293,16192408876.956404
410,2023-02-09,68160499147.645515,41489736570.11558,16178063339.745068
411,2023-02-10,68193338996.94423,41454455609.653206,16174744589.211452
412,2023-02-11,68366557129.943596,41396045451.60778,16195656203.793404
413,2023-02-12,68457150720.6405,41347003133.53041,16143284605.88335
414,2023-02-13,68490999406.460625,41249501484.64483,16159872190.22252
415,2023-02-14,68427597807.13527,40964205745.2335,15870342964.644787
